id,text,clause_type,risk_level
CL00001,"Upon execution and delivery of this Agreement, iVillage assigns to FMC all right, title and interest in and to the content, design and intellectual property, rights created specifically for and unique to the Bridge Site, advertising units, and other promotional elements set forth in this Agreement (collectively, the ""Materials""). (Page 3)",Intellectual Property,Medium
CL00002,"NON-DISCLOSURE CERTIFICATE I hereby certify my understanding that access to Confidential Information is provided to me pursuant to the terms and conditions of the Non-Disclosure Agreement for the Exchange of Energy Management System Model Data dated as of the _11th__ day of August , 20_15_ by and among PJM Interconnection, L.L.C. (“PJM”) and the PJM Transmission Owner (“Transmission Owner”). I certify that I have been given a copy of and have read the Non-Disclosure Agreement, and I agree to be bound by it. I understand that the contents of the Confidential Information, and Notes or other memoranda, or other form of information that copies or discloses Confidential Information shall not be disclosed to anyone other than in accordance with the Non-Disclosure Agreement.",Confidentiality,Low
CL00005,"During the Term, each Party hereby provides a worldwide, exclusive, royalty free, perpetual license of such Intellectual Property Rights for use by each licensee in its business in connection with the development and marketing and commercialization of the Product. (Page 7) In the event that CAPSUGEL reasonably determines that the development of the Compound Formulation is not feasible with Commercially Reasonable Efforts in accordance with the Development Plan, with such changes as reasonably requested by CAPSUGEL, then CAPSUGEL may discontinue the development of the Compound Formulation and Product and terminate this Agreement, in which case, CARDAX shall have the right to license the Intellectual Property Rights as provided in Section 4. (Page 15)",Intellectual Property,Medium
CL00007,"Each Party agrees that in the event it violates the provisions of this Section 15.9, it will pay to the other Party as liquidated damages, and not as a penalty, an amount equal to one hundred times (100 X) of any such employee's then-current base annual salary. (Page 7)",Liability,Medium
CL00008,"IBM agrees to insure tooling it owns. (Page 51) Where possible, MSL will be jointly insured with respect to the IBM owned tooling for its interest. (Page 51)",Insurance,Low
CL00009,"Upon the termination or expiration of the Franchise, we will have the option, but not the obligation, exercisable for thirty (30) days upon written notice to you, to purchase at fair market value all of the assets of the Franchise, including all approved equipment, fixtures, furniture and signs and all supplies, materials, and other items imprinted with any Mark, and to take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise (Page 46) Upon the expiration or termination of either the Lease Agreement or the Franchise Agreement (attached), Lessor will cooperate with and assist Franchisor in securing possession of the Premises and if Franchisor does not elect to take an assignment of the Lessee’s interest, Lessor will allow Franchisor to enter the Premises, without being guilty of trespass and without incurring any liability to Lessor, to remove all signs, awnings, and all other items identifying the Premises as a Franchised Business and to make other modifications (such as repainting) as are reasonably necessary to protect The Joint marks and system, and to distinguish the Premises from a Franchised Business. (Page 59)",Termination,Low
CL00010,"2. Definition. ""Confidential Information"" means any information, technical data, or know-how, including, but not limited to, that which relates to research, product plans, products, services, customers, markets, opt-in information including Short-code and URL information, marketing or finances, which Confidential Information is designated in writing to be confidential or proprietary, or if given orally, is confirmed promptly in writing as having been disclosed as confidential or proprietary. Confidential Information does not include information, technical data or know-how which: (i) is in the possession of the receiving party at the time of disclosure as shown by the receiving party's files and records immediately prior to the time of disclosure; (ii) prior or after the time of disclosure becomes part of the public knowledge or literature, not as a result of any inaction or action of the receiving party; or (iii) is approved for release by the Discloser in writing.",Confidentiality,Low
CL00011,"The Distributors will not develop, manufacture or sell any equipment or service, which in any way can be considered to be competitive to the equipment or service offered by Lucid to the Distributor as Product. (Page 2)",Non-Compete & Exclusivity,Medium
CL00012,"MUTUAL NON-DISCLOSURE AGREEMENT THIS AGREEMENT is entered into and made effective as of February 10, 2000, by and between New England Business Service, Inc. (""NEBS"") and Premium Wear, Inc. (""Premium Wear""). This Agreement provides for the protection from unauthorized disclosure or use of Confidential Information (as defined below) that may be furnished by one of the parties hereto to the other party and that may be used by the receiving party solely for the purpose of evaluating or engaging in a business relationship between the disclosing party and the receiving party.",Confidentiality,Low
CL00013,"Pursuant to the DA, and subject to its terms, ARGO agreed to appoint YEC as the exclusive distributor of its products in the Territory specified therein, and YEC agreed to market and distribute Argo’s products in a professional manner (Page 2)",Non-Compete & Exclusivity,Medium
CL00014,"NOW THEREFORE, in consideration of mutual promises and covenants contained in this Agreement and the disclosure of Confidential Information to each other, the parties to this Agreement agree as follows: 1. Definition. The term ""Confidential Information"" as used herein means all trade secrets or confidential or proprietary information of either party, whether or not marked “Confidential”, whether in written or oral form, relating to such party's business or technology, including without limitation, its products, customer data, development and marketing plans, and financial information. In addition, Confidential Information shall include all terms and conditions of this Agreement including the fact that the parties are having discussions in order to determine the feasibility of a commercial relationship.",Confidentiality,Low
CL00015,"University ー Industry Liaison Office Title: President and CEO Internal use or for commercial purposes. The Recipient hereby indemnifies, holds harmless and defends the University, its Board of Governors, directors, officers, employees, faculty, students and agents against any and all claims, demands, liabilities and expenses (including reasonable legal fees and disbursements), whether direct, indirect, consequential or otherwise resulting from a breach of this provision or any other provision of this Agreement.",Indemnification,Medium
CL00017,"For the duration of this Agreement and for a period of [***] following its termination, each Party agrees to obtain and maintain, during the Term, commercial general liability insurance, including product liability insurance, with reputable and financially secure insurance carriers (or pursuant to a program of self-insurance reasonably satisfactory to the other Party) to cover its indemnification obligations under Section 7.1 or Section 7.2, as applicable, in each case with limits of not less than [***] per occurrence and in the aggregate. Insurance shall be procured with carriers having an A.M. Best Rating of A-VII or better. (Page 28)",Insurance,Low
CL00018,"8. CONFIDENTIALITY 8.1 As used herein, ""CONFIDENTIAL INFORMATION"" will mean any and all technical or business information, including third party information, furnished or disclosed, in whatever form or medium (regardless of whether tangible, Intangible, visual or oral), by one party to the other, including but not limited to information regarding patents and patent applications, trade secrets, works of authorship, software programs, software source documents, software architecture, algorithms, formulae, ideas, techniques, know-how, processes, inventions, apparatuses, equipment, models, information related to current, future and proposed products and services, research, experimental work, development, design details, specifications and engineering information, financial information, procurement, purchasing and manufacturing requirements, potential and actual customer lists, investors, employees, business and contractual relationships, business forecasts, sales and merchandising information, marketing plans; information regarding third parties; and any physical manifestations of Confidential Information (such as notes, reports, memoranda, etc.).",Confidentiality,Low
CL00021,"2. ‘Receiving Party’ means the Party receiving Confidential Information from the other Party under this Agreement. 3. ‘Confidential Information’ means any information or sensitive data , which shall include but is not limited to, design, fabrication & assembly drawings, know-how, processes, product specifications, raw materials, trade secrets, market opportunities, or business or financial affairs of the Parties or their customers, product samples, inventions, concepts and any other technical and/or commercial information, disclosed directly or indirectly and in any form",Confidentiality,Low
CL00022,"Customer hereby grants to IBM, its Affiliates and Subcontractors all rights and licenses to, or agrees to promptly obtain and keep in effect Required Consents for all Customer Components, necessary for IBM to perform all of its obligations as set forth in this Agreement. (Page 7) IBM grants Customer a nonexclusive, nontransferable, revocable license to access and use the Base Components solely in connection with the Services as provided under this Agreement. (Page 7) IBM grants Customer an irrevocable, nonexclusive, worldwide, paid-up license to use, execute, reproduce, display, and perform copies of such Materials and distribute within Customer’s Affiliates only. (Page 10)",Intellectual Property,Medium
CL00024,Either Party may terminate this Agreement for any reason following the Initial Term upon ninety (90) days written notice to the other Party. (Page 1),Termination,Low
CL00025,"NON-DISCLOSURE AGREEMENT This NON-DISCLOSURE AGREEMENT dated May 2015 is made between , a company incorporated in having its business/registered address at (“the Receiving Party”), and Cagamas Berhad a company incorporated in Malaysia having its business address at Level 31, The Gardens North Tower, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur (“the Disclosing Party”).",Confidentiality,Low
CL00026,"(If exclusive agreement, add “Developer expressly acknowledges that the exclusive rights granted herein apply only to the right to develop new restaurants in the Territory, and no exclusive territory or radius protection for the term of any Franchise Agreement is granted herein and any such protection shall be set forth in the particular Franchise Agreement to be signed.”) (Page 2)",Non-Compete & Exclusivity,Medium
CL00027,NON-DISCLOSURE AGREEMENT This is a written contract that protects confidentiality between two parties who are entering into a Service Level Agreement. This contract is usually signed before entering into the Service Level Agreement. PARTY 1 Name & Surname: ID Number:,Confidentiality,Low
CL00028,"This Agreement may be terminated as follows: <omitted> (b) Immediately upon the occurrence of any of the following events and effective upon delivery of notice: <omitted> (8) by either Party, if Hydraspin undergoes a Change of Control <omitted> (Pages 10-11) If termination is the result of a Change of Control, Distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the Change of Control, equal to the greater of the following 1) the aggregate amount of the Distributor Share received during the 18 months prior to the effective date of such Change of Control or 2) the aggregate amount of the Distributor Share received on the 30 days prior to the effective date of such Change of Control multiplied by 18. (Page 11)",Assignment & Change of Control,Medium
CL00029,"This Agreement shall be governed by and interpreted in accordance with the laws of the State of Delaware, United States of America, without reference to conflict-of-laws principles. (Page 10)",Governing Law,Low
CL00031,Programmer shall not separately sell advertising time on the HD2 Channel but may market the WLIB Programs as being rebroadcast on the HD2 Channel. (Page 2),Intellectual Property,Medium
CL00032,"For the Initial Term of this Agreement, iVillage agrees that Ford shall be the exclusive automobile manufacturer sponsor and advertiser throughout the Network, with respect to entities whose primary business is that of an automotive manufacturer and/or retailer. (Page 2)",Non-Compete & Exclusivity,Medium
CL00033,"This Agreement will be interpreted, construed and enforced in accordance with the Laws of the State of Washington, without reference to its choice of Laws rules. (Page 12)",Governing Law,Low
CL00034,"4. Group clause The provisions in this agreement applicable to Vedrova are also applicable to the Group TP&H, and any confidential information of the Group TP&H. Group TP&H means Vedrova and any other company or entity which is directly or indirectly owned or controlled by Group TP&H, and including any direct or indirect affiliate, subsidiary, joint venture or sub-contractor of customer or any such company or entity.",Confidentiality,Low
CL00035,"[THE REST OF THIS PAGE IS INTENTIONALLY LEFT BLANK] IN WITNESS WHEREOF, the parties have executed this Mutual Non-Disclosure Agreement as of the day and year first above written. NIMBLE STORAGE, INC. By: /s/ Suresh Vasudevan Name: Suresh Vasudevan Title: CEO",Confidentiality,Low
CL00036,This Agreement shall terminate in the event of a significant change in the management or ownership of mPhase or in the event mPhase is the subject of any bankruptcy proceedings. (Page 1),Assignment & Change of Control,Medium
CL00038,"Notwithstanding anything herein to the contrary, AJR's liability under this Section 11 shall not exceed One Hundred Fifty Thousand Dollars ($150,000). (Page 7) In addition, AJR's obligations under Section 11(a) above shall survive for a period of one (1) year after the date of this Agreement. (Page 7) The indemnification obligations described in Section 11(a), including all limitations on such obligations, shall be the exclusive remedy of the XC Indemnified Parties for any Losses resulting from or based upon any breach by AJR of any of its agreements, covenants or obligations hereunder or the use of any of the Licensed Materials in a manner that is not permitted hereby. (Page 7)",Liability,Medium
CL00039,"Customer, upon thirty days prior written notice, may cancel this Agreement at the end of the Initial Term and thereafter on each anniversary of the end of the Initial Term. (Page 2)",Renewal,Low
CL00040,"EHS or EHN, on the one hand, and Dr. Murray, on the other, may terminate any Services Term of this Agreement by delivering 60 days written notice to the other party. (Page 3)",Termination,Low
CL00041,"WPD shall, and shall cause its respective affiliates, to permit CNS and its respective designated representatives, at reasonable times and upon reasonable prior notice to such parties, to review the books and records of WPD and any of its affiliates and to discuss the affairs, finances and condition of such party and any of its affiliates with the officers of such entities and any of their affiliates in relation to their compliance with this section, as applicable. (Page 4)",Audit Rights,Low
CL00042,"Both Parties will each have and maintain in full force and effect during the Term of this Agreement (including any post-termination period for which indemnification obligations continue), all product liability and other insurance reasonably necessary to cover ¬† ¬† ¬† ¬† such party‚Äôs anticipated indemnification obligation and other risk of loss for which it may be liable under this Agreement. (Pages 13-14) Such policy or policies will (a) have aggregate limits of liability of not less than $1,000,000 with respect to any incident or occurrence and of not less than $2,000,000 in the aggregate; (b) name both Zanotti and Aura as insured parties; and (c) provide that such policy may not be canceled except upon not less than 30 days‚Äô¬†written notice to both Zanotti and Aura. Each party will provide such evidence of the effectiveness of such insurance to the other party as may be reasonably requested. (Page 14)",Insurance,Low
CL00043,Mutual Non-Disclosure Agreement This AGREEMENT is made the [ ] day of BETWEEN: (1) XXX (the “Vendor”); and (2) The companies and Individuals whose names are set out in the attached schedule (the “Buyer”). Together the “Parties”. WHEREAS: (1) The Buyer is proposing to purchase a company from the Vendor (the “Target”).,Confidentiality,Low
CL00044,"MUTUAL NON-DISCLOSURE AND CONFIDENTIALITY AGREEMENT This mutual non-disclosure and confidentiality agreement (this “Agreement”), dated (“Effective Date”), by and between HACCPCanada Foodsafety Inc. (“HACCPCanada”), a corporation registered in British Columbia, Canada (BC 0972472) having a business address at 2475 Dobbin Road, West Kelowna, British Columbia, V4T 2E9, and Enter Company Name (the “Second Party” and together with HACCPCanada, the “Parties”), located at Enter company Address . Whereas the Parties wish to explore and enter into certain business transactions (the “Subject Matter”) in connection with which each Party has disclosed and/or may further disclose its Confidential Information (as defined in Section 1.1) to the other Party. This Agreement is intended to allow the protection of each Party’s Confidential Information (including any Confidential Information previously disclosed to the other Party) against unauthorized use or disclosure.",Confidentiality,Low
CL00045,"Notwithstanding Section 16.18 of the Outsourcing Base Agreement, MS is an intended third party beneficiary of this Attachment 6 only, with full rights to enforce the terms of this Attachment 6 on its own behalf, but only to the extent that the terms of this Attachment 6 pertains to the MS Software Images and related MS documentation. (Page 64)",Dispute Resolution,Low
CL00046,"8.11 Audit. Vyera shall maintain, and shall cause its Affiliates to maintain, complete and accurate records in sufficient detail to permit CytoDyn to confirm the accuracy of the calculation of royalties and milestones due under this Agreement. Upon reasonable prior notice, but not more than once per Calendar Year, such records of Vyera and its Affiliates shall be available during Vyera's and its Affiliates regular business hours for a period of three (3) years from the end of the Calendar Year to which they pertain for examination at the expense of CytoDyn by an independent certified public accountant selected by CytoDyn and reasonably acceptable to Vyera, for the sole purpose of verifying the accuracy of the financial reports and correctness of the payments furnished by Vyera pursuant to this Agreement. Any such auditor shall not disclose Vyera's Confidential Information, except to the extent such disclosure is necessary to verify the accuracy of the financial reports furnished by Vyera or the amount of payments due by Vyera under this Agreement. Any amounts shown to be owed but unpaid shall be paid within thirty (30) days from the accountant's report, plus interest, as set forth in Section 8.12 from the original due date. Any amounts shown to have been overpaid shall be refunded within thirty (30) days from the accountant's report. CytoDyn shall bear the full cost of such audit unless such audit discloses an underpayment by Vyera of more than five percent (5%) of the amount due, in which case Vyera shall bear the full cost of such audit. The audit rights set forth in this Section 8.11 shall survive the Term for a period of three (3) years.",Confidentiality,Low
